filename,duration_ms,tempo,loudness,energy,danceability,acousticness,speechiness,instrumentalness,valence,key,mode,time_signature,spectral_contrast,zcr,spec_centroid,spec_bandwidth,Artist,Url_spotify,Track,Album,Album_type,Uri,Url_youtube,Title,Channel,Licensed,official_video,video_id,Views,Likes,Comments,Track_URL_Spotify,Spotify_Track_Popularity
#Video ｜ #Khesari Lal Yadav New Song ｜ तबला ｜ #Shilpi Raj ｜ #Namrita Malla ｜ Tabla.opus,114009.97916666669,[119.68085106],-10.556979,0.2634573,0.9962212931887446,0.4229099679462111,0.0334738717846155,0.4087535339027438,[0.49225383],8.0,0.0,3.0,23.346165744498027,0.0667004338572364,3290.4434034712544,3464.6734283661585,Shilpi Raj,https://open.spotify.com/artist/12HVwm3qt6gOkKhDoj00m4,Tabla,Tabla - Single,single,spotify:track:30ZDZPsZ4qvaaI92d8Hoct,https://www.youtube.com/watch?v=ty9SJ_wrReI,#Video | #Khesari Lal Yadav New Song | तबला | #Shilpi Raj | #Namrita Malla | Tabla,Saregama Hum Bhojpuri,True,True,ty9SJ_wrReI,165287646.0,1431655.0,128938.0,https://open.spotify.com/track/30ZDZPsZ4qvaaI92d8Hoct,19.0
#Video ｜ #Pawan Singh New Song ｜ लाल घाघरा ｜ Lal Ghaghra ｜ Shilpi Raj ｜ Namrita Malla｜ Bhojpuri Gana.opus,123019.33333333331,[117.1875],-9.364874,0.3188797,0.9957025515215756,0.5160794268274949,0.0267969642599473,0.5022500648715044,[0.38678548],5.0,1.0,3.0,23.870243926448424,0.0532655830045951,2640.455546444704,3159.9753249462424,Shilpi Raj,https://open.spotify.com/artist/12HVwm3qt6gOkKhDoj00m4,Laal Ghaghra,Laal Ghaghra - Single,single,spotify:track:3wJ2PHesS9xsuCWdEsXpxy,https://www.youtube.com/watch?v=qZId59qml_4,#Video | #Pawan Singh New Song | लाल घाघरा | Lal Ghaghra | Shilpi Raj | Namrita Malla| Bhojpuri Gana,Saregama Hum Bhojpuri,True,True,qZId59qml_4,393125732.0,2591108.0,337562.0,https://open.spotify.com/track/3wJ2PHesS9xsuCWdEsXpxy,30.0
$NOT - GOSHA (Official Music Video).opus,61509.666666666664,[80.35714286],-13.069988,0.15162547,0.9937888198290178,0.5911413149513894,0.0195581200868921,0.5795797021252468,[0.21808931],5.0,0.0,3.0,21.227397376176327,0.0376508278513525,2171.2002798796657,2727.3435265573135,$NOT,https://open.spotify.com/artist/5IbEL2xjRtKsunfmsahLuO,GOSHA,- TRAGEDY +,album,spotify:track:0j8ppsOOawdPCJnSTcXgOy,https://www.youtube.com/watch?v=0uZZhDzU8jo,$NOT - GOSHA (Official Music Video),SNOT,True,True,0uZZhDzU8jo,15907058.0,233730.0,2759.0,https://open.spotify.com/track/0j8ppsOOawdPCJnSTcXgOy,64.0
$UICIDEBOY$ x GERM - CHAMPAGNE FACE (Lyric Video).opus,70008.16666666667,[144.23076923],-8.379286,0.3300268,0.9944887369690903,0.5931382508338972,0.0180588754593527,0.5824268410319094,[0.38928303],0.0,1.0,3.0,21.83895979066654,0.0350819366287705,2159.2232079059277,2557.708874634287,Germ,https://open.spotify.com/artist/4OYIkXBBN6ET96coWyWAXh,Champagne Face,DIRTIESTNASTIEST$UICIDE,album,spotify:track:1UsvO5U72YRU8Xnq8Lp14O,https://www.youtube.com/watch?v=fJWEq0CbZyg,$UICIDEBOY$ x GERM - CHAMPAGNE FACE (Lyric Video),$uicideboy$,True,True,fJWEq0CbZyg,8624694.0,80872.0,1341.0,https://open.spotify.com/track/1UsvO5U72YRU8Xnq8Lp14O,64.0
$UICIDEBOY$ x GERM - I DREAM OF CHROME (Lyric Video).opus,73003.54166666666,[100.44642857],-9.625892,0.30611774,0.9975288368436523,0.5617007453497611,0.0203141307275197,0.5502902829789807,[0.29513904],7.0,1.0,3.0,21.62093350048513,0.0395384404674945,2350.6184872573863,2749.6097598616548,Germ,https://open.spotify.com/artist/4OYIkXBBN6ET96coWyWAXh,I Dream of Chrome,DIRTIESTNASTIEST$UICIDE,album,spotify:track:3QQXpvZd9qmzHZ02wDf2im,https://www.youtube.com/watch?v=ljfLfk1O0KI,$UICIDEBOY$ x GERM - I DREAM OF CHROME (Lyric Video),$uicideboy$,True,True,ljfLfk1O0KI,3346819.0,50883.0,1807.0,https://open.spotify.com/track/3QQXpvZd9qmzHZ02wDf2im,54.0
"$UICIDEBOY$ x GERM - MY SWISHER SWEET, BUT MY SIG SAUER (Lyric Video).opus",113522.375,[170.45454545],-7.1352196,0.41106105,0.9972376722732124,0.4639147335804698,0.0228124750570455,0.4533316902920695,[0.63776189],5.0,0.0,3.0,21.738005740191355,0.0448324125892605,2993.2291316358674,3412.871647824998,Germ,https://open.spotify.com/artist/4OYIkXBBN6ET96coWyWAXh,"My Swisher Sweet, But My Sig Sauer",DIRTIESTNASTIEST$UICIDE,album,spotify:track:1xIibyoUvyxwoNqx8quHSz,https://www.youtube.com/watch?v=Tau9dge4bVU,"$UICIDEBOY$ x GERM - MY SWISHER SWEET, BUT MY SIG SAUER (Lyric Video)",$uicideboy$,True,True,Tau9dge4bVU,12664716.0,157247.0,6682.0,https://open.spotify.com/track/1xIibyoUvyxwoNqx8quHSz,58.0
$UICIDEBOY$ x POUYA - RUNNIN' THRU THE 7TH WITH MY WOADIES (Official Music Video).opus,91022.22916666666,[110.29411765],-15.029153,0.1383147,0.99704546424665,0.6391987403404613,0.017788543180155,0.6278283259472143,[0.26043665],3.0,0.0,3.0,21.652655394752557,0.0348396167169557,1889.033857470538,2198.4841450311988,Pouya,https://open.spotify.com/artist/4nXOZlYoAD67hF9aUEncMY,Runnin' Thru the 7th with My Woadies,$outh $ide $uicide,single,spotify:track:1tm7c4V0kqLiN0XPVnoUcT,https://www.youtube.com/watch?v=hMX0mnuQQt0,$UICIDEBOY$ x POUYA - RUNNIN' THRU THE 7TH WITH MY WOADIES (Official Music Video),Cemetery,False,False,hMX0mnuQQt0,562433.0,10742.0,261.0,https://open.spotify.com/track/1tm7c4V0kqLiN0XPVnoUcT,74.0
$UICIDEBOY$ x RAMIREZ - Grey Magic (Video).opus,71517.47916666666,[156.25],-10.394635,0.2694904,0.9964857327045508,0.595151144410333,0.0146797010452051,0.5864145035336775,[0.41936992],6.0,0.0,3.0,22.466739215784177,0.0287713809656972,2147.1740059559293,2864.16445150573,Ramirez,https://open.spotify.com/artist/3H6CaRooDAoCeRCpYwOXj2,Grey Magic,G.R.E.Y.G.O.D.S.I.I.,single,spotify:track:0vMezqQQHkkUrYdL6mgRA2,https://www.youtube.com/watch?v=i0HGy2rDDoU,$UICIDEBOY$ x RAMIREZ - Grey Magic (Video),JOAKO SUICIDA,False,False,i0HGy2rDDoU,8294.0,189.0,14.0,https://open.spotify.com/track/0vMezqQQHkkUrYdL6mgRA2,57.0
$UICIDEBOY$ x TRAVIS BARKER - ALIENS ARE GHOSTS (Drift Music Video).opus,67012.79166666667,[137.19512195],-9.7080145,0.24457745,0.994791343709486,0.5324501132098634,0.0298260331348271,0.5165692384906234,[0.43467716],3.0,1.0,3.0,21.777377171509723,0.0572900864684466,2534.650841119957,2773.008413687726,Travis Barker,https://open.spotify.com/artist/4exLIFE8sISLr28sqG1qNX,Aliens Are Ghosts,Aliens Are Ghosts,single,spotify:track:4XBDGFxecM5Y3KZFF0iufe,https://www.youtube.com/watch?v=scTh1aZ34f8,$UICIDEBOY$ x TRAVIS BARKER - ALIENS ARE GHOSTS (Drift Music Video),Trap Party,False,False,scTh1aZ34f8,9699486.0,132172.0,1006.0,https://open.spotify.com/track/4XBDGFxecM5Y3KZFF0iufe,55.0
$uicideboy$ - Antarctica (Official Music Video).opus,63018.95833333333,[106.13207547],-13.38344,0.17402281,0.9954933320544318,0.6243088942080353,0.0228597319412334,0.6100373602379117,[0.26203553],6.0,0.0,3.0,21.471054496672163,0.039384274782112,1975.165593917846,2295.8958550835596,$uicideboy$,https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0,Antarctica,Antarctica,single,spotify:track:5UGAXwbA17bUC0K9uquGY2,https://www.youtube.com/watch?v=9NsUQBeYjaE,$uicideboy$ - Antarctica (Official Music Video),Drusiph,False,False,9NsUQBeYjaE,2151799.0,44608.0,1356.0,https://open.spotify.com/track/5UGAXwbA17bUC0K9uquGY2,77.0
